# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=4 effective_threads=4 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=1 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3 
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,skinny,4,256,128,0,0,6,32,64,128,16384,4,80069
1,skinny,4,256,128,0,0,0,64,256,256,16384,4,80150
1,skinny,4,256,128,0,0,1,32,256,256,16384,4,79940
1,skinny,4,256,128,0,0,2,64,64,256,16384,4,80160
1,skinny,4,256,128,0,0,3,64,256,64,16384,4,80210
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,5,62574
1,skinny,4,256,128,0,0,6,32,64,128,16384,5,80420
1,skinny,4,256,128,0,0,0,64,256,256,16384,5,87951
1,skinny,4,256,128,0,0,1,32,256,256,16384,5,98617
1,skinny,4,256,128,0,0,2,64,64,256,16384,5,77977
1,skinny,4,256,128,0,0,3,64,256,64,16384,5,77396
1,skinny,4,256,128,0,0,4,64,256,256,0,5,79880
1,skinny,4,256,128,0,0,6,32,64,128,16384,6,78097
1,skinny,4,256,128,0,0,0,64,256,256,16384,6,77977
1,skinny,4,256,128,0,0,1,32,256,256,16384,6,77977
1,skinny,4,256,128,0,0,2,64,64,256,16384,6,77846
1,skinny,4,256,128,0,0,3,64,256,64,16384,6,78988
1,skinny,4,256,128,0,0,4,64,256,256,0,6,78076
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,6,63505
1,square,128,128,128,0,0,0,64,256,256,16384,0,691975
1,square,128,128,128,0,0,1,32,256,256,16384,0,469112
1,square,128,128,128,0,0,2,64,64,256,16384,0,457645
1,square,128,128,128,0,0,3,64,256,64,16384,0,653648
1,square,128,128,128,0,0,4,64,256,256,0,0,665866
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,0,775931
1,square,128,128,128,0,0,6,32,64,128,16384,0,479026
1,square,128,128,128,0,0,1,32,256,256,16384,1,462422
1,square,128,128,128,0,0,2,64,64,256,16384,1,478796
1,square,128,128,128,0,0,3,64,256,64,16384,1,639928
1,square,128,128,128,0,0,4,64,256,256,0,1,673999
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,1,771755
1,square,128,128,128,0,0,6,32,64,128,16384,1,468792
1,square,128,128,128,0,0,0,64,256,256,16384,1,683974
1,square,128,128,128,0,0,2,64,64,256,16384,2,466649
1,square,128,128,128,0,0,3,64,256,64,16384,2,647249
1,square,128,128,128,0,0,4,64,256,256,0,2,673528
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,2,764284
1,square,128,128,128,0,0,6,32,64,128,16384,2,475992
1,square,128,128,128,0,0,0,64,256,256,16384,2,677183
1,square,128,128,128,0,0,1,32,256,256,16384,2,478536
1,square,128,128,128,0,0,3,64,256,64,16384,3,647118
1,square,128,128,128,0,0,4,64,256,256,0,3,665105
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,3,778885
1,square,128,128,128,0,0,6,32,64,128,16384,3,478767
1,square,128,128,128,0,0,0,64,256,256,16384,3,676823
1,square,128,128,128,0,0,1,32,256,256,16384,3,474720
1,square,128,128,128,0,0,2,64,64,256,16384,3,462111
1,square,128,128,128,0,0,4,64,256,256,0,4,684885
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,4,776382
1,square,128,128,128,0,0,6,32,64,128,16384,4,465797
1,square,128,128,128,0,0,0,64,256,256,16384,4,699557
1,square,128,128,128,0,0,1,32,256,256,16384,4,465878
1,square,128,128,128,0,0,2,64,64,256,16384,4,472187
1,square,128,128,128,0,0,3,64,256,64,16384,4,639367
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,5,777243
1,square,128,128,128,0,0,6,32,64,128,16384,5,476132
1,square,128,128,128,0,0,0,64,256,256,16384,5,694529
1,square,128,128,128,0,0,1,32,256,256,16384,5,475611
1,square,128,128,128,0,0,2,64,64,256,16384,5,462021
1,square,128,128,128,0,0,3,64,256,64,16384,5,651144
1,square,128,128,128,0,0,4,64,256,256,0,5,685215
1,square,128,128,128,0,0,6,32,64,128,16384,6,486679
1,square,128,128,128,0,0,0,64,256,256,16384,6,700858
1,square,128,128,128,0,0,1,32,256,256,16384,6,463644
1,square,128,128,128,0,0,2,64,64,256,16384,6,466077
1,square,128,128,128,0,0,3,64,256,64,16384,6,639857
1,square,128,128,128,0,0,4,64,256,256,0,6,672867
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,6,769391
1,large,256,256,256,0,0,0,64,256,256,16384,0,3571894
1,large,256,256,256,0,0,1,32,256,256,16384,0,3578164
1,large,256,256,256,0,0,2,64,64,256,16384,0,3980987
1,large,256,256,256,0,0,3,64,256,64,16384,0,3904082
1,large,256,256,256,0,0,4,64,256,256,0,0,3567878
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,0,6101621
1,large,256,256,256,0,0,6,32,64,128,16384,0,3587739
