# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=2 effective_threads=2 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=0 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,small,16,32,32,0,0,0,64,256,256,16384,0,16444
1,small,16,32,32,0,0,1,32,256,256,16384,0,14552
1,small,16,32,32,0,0,2,64,64,256,16384,0,11387
1,small,16,32,32,0,0,3,64,256,64,16384,0,11367
1,small,16,32,32,0,0,4,64,256,256,0,0,11236
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,0,11387
1,small,16,32,32,0,0,6,32,64,128,16384,0,18818
1,small,16,32,32,0,0,1,32,256,256,16384,1,12869
1,small,16,32,32,0,0,2,64,64,256,16384,1,11357
1,small,16,32,32,0,0,3,64,256,64,16384,1,11377
1,small,16,32,32,0,0,4,64,256,256,0,1,11237
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,1,11367
1,small,16,32,32,0,0,6,32,64,128,16384,1,20791
1,small,16,32,32,0,0,0,64,256,256,16384,1,11377
1,small,16,32,32,0,0,2,64,64,256,16384,2,11367
1,small,16,32,32,0,0,3,64,256,64,16384,2,11357
1,small,16,32,32,0,0,4,64,256,256,0,2,11227
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,2,11357
1,small,16,32,32,0,0,6,32,64,128,16384,2,19960
1,small,16,32,32,0,0,0,64,256,256,16384,2,11367
1,small,16,32,32,0,0,1,32,256,256,16384,2,27811
1,small,16,32,32,0,0,3,64,256,64,16384,3,22543
1,small,16,32,32,0,0,4,64,256,256,0,3,12098
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,3,11367
1,small,16,32,32,0,0,6,32,64,128,16384,3,11357
1,small,16,32,32,0,0,0,64,256,256,16384,3,20420
1,small,16,32,32,0,0,1,32,256,256,16384,3,11467
1,small,16,32,32,0,0,2,64,64,256,16384,3,11357
1,small,16,32,32,0,0,4,64,256,256,0,4,11227
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,4,11367
1,small,16,32,32,0,0,6,32,64,128,16384,4,11367
1,small,16,32,32,0,0,0,64,256,256,16384,4,20601
1,small,16,32,32,0,0,1,32,256,256,16384,4,11357
1,small,16,32,32,0,0,2,64,64,256,16384,4,11367
1,small,16,32,32,0,0,3,64,256,64,16384,4,11357
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,5,11387
1,small,16,32,32,0,0,6,32,64,128,16384,5,11357
1,small,16,32,32,0,0,0,64,256,256,16384,5,21572
1,small,16,32,32,0,0,1,32,256,256,16384,5,11347
1,small,16,32,32,0,0,2,64,64,256,16384,5,11367
1,small,16,32,32,0,0,3,64,256,64,16384,5,11357
1,small,16,32,32,0,0,4,64,256,256,0,5,11267
1,small,16,32,32,0,0,6,32,64,128,16384,6,11958
1,small,16,32,32,0,0,0,64,256,256,16384,6,17826
1,small,16,32,32,0,0,1,32,256,256,16384,6,11377
1,small,16,32,32,0,0,2,64,64,256,16384,6,11357
1,small,16,32,32,0,0,3,64,256,64,16384,6,11356
1,small,16,32,32,0,0,4,64,256,256,0,6,11207
